(frozenset({'一般車道(未劃分快慢車道)', '晴', '直路', '普通重型機車', '男', '平日'}), frozenset({'20-40歲'}), 1237, 0.519311502938707)
(frozenset({'20-40歲', '晴', '直路', '普通重型機車', '男', '平日'}), frozenset({'一般車道(未劃分快慢車道)'}), 1237, 0.7889030612244898)
(frozenset({'20-40歲', '直路', '普通重型機車', '男', '平日'}), frozenset({'晴', '一般車道(未劃分快慢車道)'}), 1237, 0.5175732217573221)
(frozenset({'20-40歲', '晴', '直路', '男', '平日'}), frozenset({'普通重型機車', '一般車道(未劃分快慢車道)'}), 1237, 0.5012155591572123)
(frozenset({'20-40歲', '晴', '直路', '普通重型機車', '平日'}), frozenset({'男', '一般車道(未劃分快慢車道)'}), 1237, 0.5466195315952276)
(frozenset({'20-40歲', '晴', '直路', '普通重型機車', '男'}), frozenset({'平日', '一般車道(未劃分快慢車道)'}), 1237, 0.6363168724279835)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '直路', '普通重型機車', '男', '平日'}), frozenset({'晴'}), 1237, 0.6569304301646309)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '普通重型機車', '男', '平日'}), frozenset({'晴', '直路'}), 1237, 0.584869976359338)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '直路', '普通重型機車', '男'}), frozenset({'晴', '平日'}), 1237, 0.5186582809224318)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '晴', '普通重型機車', '男', '平日'}), frozenset({'直路'}), 1237, 0.879800853485064)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '晴', '男', '平日'}), frozenset({'普通重型機車', '直路'}), 1237, 0.5492895204262878)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '晴', '普通重型機車', '平日'}), frozenset({'男', '直路'}), 1237, 0.6111660079051383)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '晴', '普通重型機車', '男'}), frozenset({'平日', '直路'}), 1237, 0.6984754376058724)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '晴', '直路', '男', '平日'}), frozenset({'普通重型機車'}), 1237, 0.6308006119326874)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '晴', '直路', '男'}), frozenset({'普通重型機車', '平日'}), 1237, 0.5018255578093306)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '晴', '直路', '普通重型機車', '平日'}), frozenset({'男'}), 1237, 0.6853185595567867)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '晴', '直路', '普通重型機車'}), frozenset({'男', '平日'}), 1237, 0.5584650112866817)
(frozenset({'20-40歲', '一般車道(未劃分快慢車道)', '晴', '直路', '普通重型機車', '男'}), frozenset({'平日'}), 1237, 0.7980645161290323)
(frozenset({'晴', '四岔路', '普通重型機車', '男', '平日', '交叉路口內'}), frozenset({'20-40歲'}), 1348, 0.5517805976258698)
(frozenset({'20-40歲', '四岔路', '普通重型機車', '男', '平日', '交叉路口內'}), frozenset({'晴'}), 1348, 0.6696472925981123)
(frozenset({'20-40歲', '四岔路', '普通重型機車', '男', '交叉路口內'}), frozenset({'晴', '平日'}), 1348, 0.5075301204819277)
(frozenset({'20-40歲', '晴', '普通重型機車', '男', '平日', '交叉路口內'}), frozenset({'四岔路'}), 1348, 0.6367501180916391)
(frozenset({'20-40歲', '晴', '四岔路', '男', '平日', '交叉路口內'}), frozenset({'普通重型機車'}), 1348, 0.654368932038835)
(frozenset({'20-40歲', '晴', '四岔路', '普通重型機車', '平日', '交叉路口內'}), frozenset({'男'}), 1348, 0.7013527575442248)
(frozenset({'20-40歲', '晴', '四岔路', '普通重型機車', '交叉路口內'}), frozenset({'男', '平日'}), 1348, 0.5404971932638332)
(frozenset({'20-40歲', '晴', '四岔路', '普通重型機車', '平日'}), frozenset({'男', '交叉路口內'}), 1348, 0.5243096071567483)
(frozenset({'20-40歲', '晴', '四岔路', '普通重型機車', '男', '交叉路口內'}), frozenset({'平日'}), 1348, 0.7624434389140271)
(frozenset({'20-40歲', '晴', '四岔路', '普通重型機車', '男'}), frozenset({'平日', '交叉路口內'}), 1348, 0.572642310960068)
(frozenset({'20-40歲', '晴', '四岔路', '普通重型機車', '男', '平日'}), frozenset({'交叉路口內'}), 1348, 0.7447513812154696)
(frozenset({'晴', '普通重型機車', '男', '星期二', '平日'}), frozenset({'20-40歲'}), 1028, 0.5362545644235786)
(frozenset({'晴', '普通重型機車', '男', '星期二'}), frozenset({'平日', '20-40歲'}), 1028, 0.5362545644235786)
(frozenset({'20-40歲', '普通重型機車', '男', '星期二', '平日'}), frozenset({'晴'}), 1028, 0.6960054163845633)
(frozenset({'20-40歲', '普通重型機車', '男', '星期二'}), frozenset({'晴', '平日'}), 1028, 0.6960054163845633)
(frozenset({'20-40歲', '晴', '男', '星期二', '平日'}), frozenset({'普通重型機車'}), 1028, 0.6627981947130883)
(frozenset({'20-40歲', '晴', '男', '星期二'}), frozenset({'普通重型機車', '平日'}), 1028, 0.6627981947130883)
(frozenset({'20-40歲', '晴', '普通重型機車', '星期二', '平日'}), frozenset({'男'}), 1028, 0.710435383552177)
(frozenset({'20-40歲', '晴', '普通重型機車', '星期二'}), frozenset({'男', '平日'}), 1028, 0.710435383552177)
(frozenset({'20-40歲', '晴', '普通重型機車', '男', '星期二'}), frozenset({'平日'}), 1028, 1.0)
(frozenset({'三岔路', '普通重型機車', '男', '平日', '交叉路口內'}), frozenset({'晴'}), 1247, 0.6795640326975477)
(frozenset({'三岔路', '普通重型機車', '男', '交叉路口內'}), frozenset({'晴', '平日'}), 1247, 0.5281660313426514)
(frozenset({'三岔路', '晴', '男', '平日', '交叉路口內'}), frozenset({'普通重型機車'}), 1247, 0.5493392070484582)
(frozenset({'三岔路', '晴', '普通重型機車', '平日', '交叉路口內'}), frozenset({'男'}), 1247, 0.7085227272727272)
(frozenset({'三岔路', '晴', '普通重型機車', '交叉路口內'}), frozenset({'男', '平日'}), 1247, 0.5632339656729901)
(frozenset({'三岔路', '晴', '普通重型機車', '男', '交叉路口內'}), frozenset({'平日'}), 1247, 0.7902408111533586)
(frozenset({'三岔路', '晴', '普通重型機車', '男'}), frozenset({'平日', '交叉路口內'}), 1247, 0.5028225806451613)
(frozenset({'三岔路', '晴', '普通重型機車', '男', '平日'}), frozenset({'交叉路口內'}), 1247, 0.6424523441524987)
(frozenset({'下午', '晴', '直路', '男', '平日'}), frozenset({'一般車道(未劃分快慢車道)'}), 1127, 0.8015647226173542)
(frozenset({'下午', '直路', '男', '平日'}), frozenset({'晴', '一般車道(未劃分快慢車道)'}), 1127, 0.5484184914841849)
(frozenset({'下午', '晴', '直路', '平日'}), frozenset({'男', '一般車道(未劃分快慢車道)'}), 1127, 0.528116213683224)
(frozenset({'下午', '晴', '直路', '男'}), frozenset({'平日', '一般車道(未劃分快慢車道)'}), 1127, 0.625069328896284)
(frozenset({'一般車道(未劃分快慢車道)', '下午', '直路', '男', '平日'}), frozenset({'晴'}), 1127, 0.6764705882352942)
(frozenset({'一般車道(未劃分快慢車道)', '下午', '男', '平日'}), frozenset({'晴', '直路'}), 1127, 0.5988310308182784)
(frozenset({'一般車道(未劃分快慢車道)', '下午', '直路', '男'}), frozenset({'晴', '平日'}), 1127, 0.5198339483394834)
(frozenset({'一般車道(未劃分快慢車道)', '下午', '晴', '男', '平日'}), frozenset({'直路'}), 1127, 0.8797814207650273)
(frozenset({'一般車道(未劃分快慢車道)', '下午', '晴', '平日'}), frozenset({'男', '直路'}), 1127, 0.5779487179487179)
(frozenset({'一般車道(未劃分快慢車道)', '下午', '晴', '男'}), frozenset({'平日', '直路'}), 1127, 0.677690920024053)
(frozenset({'一般車道(未劃分快慢車道)', '下午', '晴', '直路', '平日'}), frozenset({'男'}), 1127, 0.6586791350087668)
(frozenset({'一般車道(未劃分快慢車道)', '下午', '晴', '直路'}), frozenset({'男', '平日'}), 1127, 0.5181609195402299)
(frozenset({'一般車道(未劃分快慢車道)', '下午', '晴', '直路', '男'}), frozenset({'平日'}), 1127, 0.7767057201929704)
(frozenset({'下午', '四岔路', '男', '平日', '交叉路口內'}), frozenset({'晴'}), 1066, 0.6962769431743958)
(frozenset({'下午', '四岔路', '男', '交叉路口內'}), frozenset({'晴', '平日'}), 1066, 0.5157232704402516)
(frozenset({'下午', '晴', '男', '平日', '交叉路口內'}), frozenset({'四岔路'}), 1066, 0.6277974087161367)
(frozenset({'下午', '晴', '四岔路', '平日', '交叉路口內'}), frozenset({'男'}), 1066, 0.6742567994939912)
(frozenset({'下午', '晴', '四岔路', '交叉路口內'}), frozenset({'男', '平日'}), 1066, 0.5090735434574976)
(frozenset({'下午', '晴', '四岔路', '男', '交叉路口內'}), frozenset({'平日'}), 1066, 0.7501759324419423)
