發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,天候,速限,道路型態,事故位置
106,1,3,8,58,2,01大同區,大同區大龍街85巷,0,1,1,F01,2,70,2,8,50,14,9
106,1,3,8,58,2,01大同區,大同區大龍街85巷,0,1,2,C03,1,38,3,8,50,14,9
106,1,4,9,14,2,01大同區,大同區環河北路1段87號,0,1,1,B03,1,38,3,8,50,14,9
106,1,4,9,14,2,01大同區,大同區環河北路1段87號,0,1,2,C04,2,56,2,8,50,14,9
106,1,9,15,36,2,01大同區,大同區鄭州路與西寧北路口,0,1,1,C03,1,21,2,8,40,4,2
106,1,9,15,36,2,01大同區,大同區鄭州路與西寧北路口,0,1,2,C03,2,21,3,8,40,4,2
106,1,14,13,21,2,01大同區,大同區南京西路302巷,0,2,1,C03,1,19,2,7,50,4,1
106,1,14,13,21,2,01大同區,大同區南京西路302巷,0,2,2,C03,1,21,2,7,50,4,1
106,1,14,17,30,2,01大同區,大同區承德路3段32號,0,1,1,C03,1,55,2,7,50,14,9
106,1,14,17,30,2,01大同區,大同區承德路3段32號,0,1,2,B03,2,50,3,7,50,14,9
106,1,6,19,45,2,01大同區,大同區延平北路1段與南京西路口,0,2,1,C03,1,21,2,8,50,4,1
106,1,6,19,45,2,01大同區,大同區延平北路1段與南京西路口,0,2,2,C03,2,28,2,8,50,4,1
106,1,13,9,20,2,01大同區,大同區長安西路與塔城街口,0,1,1,F01,1,106,4,6,0,4,2
106,1,13,9,20,2,01大同區,大同區長安西路與塔城街口,0,1,2,C03,1,32,2,6,0,4,2
106,2,8,19,5,2,01大同區,大同區鄭州路與塔城街口,0,3,1,C03,1,44,2,6,40,5,2
106,2,8,19,5,2,01大同區,大同區鄭州路與塔城街口,0,3,2,C03,1,34,2,6,40,5,2
106,2,8,19,5,2,01大同區,大同區鄭州路與塔城街口,0,3,3,B03,1,50,3,6,40,5,2
106,2,8,19,5,2,01大同區,大同區鄭州路與塔城街口,0,3,4,C03,1,27,2,6,40,5,2
106,2,11,11,50,2,01大同區,大同區重慶北路2段227號與重慶北路2段口,0,2,1,B03,1,33,3,8,50,5,2
106,2,11,11,50,2,01大同區,大同區重慶北路2段227號與重慶北路2段口,0,2,2,C03,1,38,2,8,50,5,2
106,2,11,11,50,2,01大同區,大同區重慶北路2段227號與重慶北路2段口,0,2,3,H02,2,60,2,8,50,5,2
106,2,14,23,27,2,01大同區,大同區酒泉街與重慶北路3段口,0,1,1,B03,1,31,3,8,50,5,2
